,open,high,low,close,volume,value
2023-01-28 09:00:00,28950000.0,29118000.0,28931000.0,29108000.0,788.88086741,22910230837.45442
2023-01-28 13:00:00,29109000.0,29117000.0,28890000.0,28902000.0,751.43358116,21792973284.34985
2023-01-28 17:00:00,28902000.0,28999000.0,28900000.0,28954000.0,319.29988783,9245507389.21679
2023-01-28 21:00:00,28954000.0,29070000.0,28800000.0,29027000.0,567.3415995,16415745537.00231
2023-01-29 01:00:00,29025000.0,29069000.0,28990000.0,29040000.0,182.37377791,5293847692.92896
2023-01-29 05:00:00,29040000.0,29075000.0,28964000.0,29063000.0,259.58838096,7537922428.27644
2023-01-29 09:00:00,29064000.0,29478000.0,28984000.0,29250000.0,1130.68960256,33048452281.1
2023-01-29 13:00:00,29249000.0,29289000.0,29159000.0,29226000.0,436.63595726,12765296101.03635
2023-01-29 17:00:00,29226000.0,29500000.0,29132000.0,29405000.0,1093.38131258,32078555789.94064
2023-01-29 21:00:00,29406000.0,29600000.0,29300000.0,29496000.0,1104.04741954,32555108777.65586
2023-01-30 01:00:00,29496000.0,29922000.0,29453000.0,29888000.0,570.89894965,16944271945.48834
2023-01-30 05:00:00,29888000.0,29888000.0,29564000.0,29670000.0,572.23923265,17009825794.56481
2023-01-30 09:00:00,29657000.0,29777000.0,29536000.0,29692000.0,950.20225786,28161276506.27259
2023-01-30 13:00:00,29693000.0,29749000.0,29563000.0,29606000.0,680.66852485,20187758503.26106
2023-01-30 17:00:00,29621000.0,29621000.0,28885000.0,28929000.0,2653.66978298,77342421276.31805
2023-01-30 21:00:00,28929000.0,29185000.0,28800000.0,29060000.0,1133.08641461,32832783451.75452
2023-01-31 01:00:00,29073000.0,29123000.0,28510000.0,28644000.0,627.66833999,18093747579.07697
2023-01-31 05:00:00,28644000.0,28746000.0,28323000.0,28706000.0,906.93388187,25897037077.14141
2023-01-31 09:00:00,28724000.0,28809000.0,28474000.0,28638000.0,955.23904187,27378528199.79985
2023-01-31 13:00:00,28638000.0,28793000.0,28430000.0,28758000.0,794.88429226,22729301832.02898
2023-01-31 17:00:00,28763000.0,28786000.0,28566000.0,28722000.0,727.64417459,20870183431.56047
2023-01-31 21:00:00,28723000.0,29153000.0,28696000.0,29069000.0,1207.23429138,34949871400.39994
2023-02-01 01:00:00,29069000.0,29101000.0,28957000.0,28979000.0,292.75933235,8496493984.81486
2023-02-01 05:00:00,28979000.0,29225000.0,28703000.0,29064000.0,627.50741135,18174147820.23064
2023-02-01 09:00:00,29052000.0,29100000.0,28924000.0,29012000.0,748.74103029,21741084179.50217
2023-02-01 13:00:00,29015000.0,29046000.0,28801000.0,28854000.0,695.69201149,20121734788.85277
2023-02-01 17:00:00,28855000.0,28953000.0,28626000.0,28921000.0,841.16621166,24208111862.98247
2023-02-01 21:00:00,28920000.0,29030000.0,28783000.0,28837000.0,618.15247996,17874826283.36811
2023-02-02 01:00:00,28831000.0,29490000.0,28665000.0,29367000.0,1139.32197289,33099306296.2045
2023-02-02 05:00:00,29355000.0,29740000.0,29300000.0,29620000.0,1594.84304138,47196612247.64302
2023-02-02 09:00:00,29599000.0,30285000.0,29595000.0,29776000.0,2198.40965564,65843153322.73368
2023-02-02 13:00:00,29776000.0,29876000.0,29555000.0,29709000.0,845.30106874,25134364585.27703
2023-02-02 17:00:00,29717000.0,29817000.0,29684000.0,29768000.0,605.76905751,18020083854.85446
2023-02-02 21:00:00,29770000.0,29990000.0,29602000.0,29939000.0,1090.1410823,32480700773.38416
2023-02-03 01:00:00,29938000.0,30096000.0,29769000.0,29863000.0,689.58355439,20629005557.81742
2023-02-03 05:00:00,29899000.0,30000000.0,29530000.0,29600000.0,868.82894246,25833306559.94092
2023-02-03 09:00:00,29601000.0,29702000.0,29419000.0,29618000.0,896.93005645,26538395222.95925
2023-02-03 13:00:00,29618000.0,29633000.0,29437000.0,29439000.0,684.35886372,20227209223.85591
2023-02-03 17:00:00,29438000.0,29571000.0,29350000.0,29543000.0,1004.97666474,29578716598.9942
2023-02-03 21:00:00,29543000.0,29734000.0,29287000.0,29635000.0,1260.25305885,37170074665.30254
2023-02-04 01:00:00,29618000.0,29734000.0,29363000.0,29382000.0,418.29180072,12363433273.39132
2023-02-04 05:00:00,29368000.0,29517000.0,29301000.0,29432000.0,478.87598125,14094960640.88653
2023-02-04 09:00:00,29432000.0,29582000.0,29349000.0,29462000.0,951.75798226,28062942472.7309
2023-02-04 13:00:00,29458000.0,29520000.0,29410000.0,29431000.0,356.65006355,10509661318.24008
2023-02-04 17:00:00,29433000.0,29500000.0,29406000.0,29443000.0,334.15727266,9840777031.80343
2023-02-04 21:00:00,29451000.0,29650000.0,29438000.0,29500000.0,633.68594903,18724586048.42086
2023-02-05 01:00:00,29513000.0,29521000.0,29359000.0,29504000.0,358.72463799,10562872663.67378
2023-02-05 05:00:00,29485000.0,29513000.0,29366000.0,29420000.0,289.18692404,8509478869.79619
2023-02-05 09:00:00,29398000.0,29528000.0,29350000.0,29507000.0,733.50561409,21592854609.09477
2023-02-05 13:00:00,29495000.0,29516000.0,29440000.0,29440000.0,272.75126024,8038548678.34659
2023-02-05 17:00:00,29440000.0,29500000.0,29361000.0,29363000.0,551.66824999,16230007602.11787
2023-02-05 21:00:00,29364000.0,29400000.0,28983000.0,29047000.0,1751.98340862,51108107891.70899
2023-02-06 01:00:00,29058000.0,29220000.0,28827000.0,28960000.0,495.1884137,14354388145.84783
2023-02-06 05:00:00,28980000.0,29139000.0,28912000.0,28990000.0,430.79379965,12500198299.51536
2023-02-06 09:00:00,28990000.0,29138000.0,28860000.0,28937000.0,782.55707281,22705660843.94186
2023-02-06 13:00:00,28955000.0,28958000.0,28650000.0,28949000.0,756.51142296,21775864912.55186
2023-02-06 17:00:00,28949000.0,29165000.0,28891000.0,29101000.0,2417.90257622,70169290582.12004
2023-02-06 21:00:00,29109000.0,29439000.0,28867000.0,29192000.0,5530.60625809,161075229138.85596
2023-02-07 01:00:00,29192000.0,29385000.0,29140000.0,29278000.0,1173.743343,34361351401.1289
2023-02-07 05:00:00,29279000.0,29288000.0,29016000.0,29222000.0,1508.48711175,44020055341.90446
2023-02-07 09:00:00,29225000.0,29382000.0,29073000.0,29160000.0,4536.18816495,132703102775.64107
2023-02-07 13:00:00,29160000.0,29384000.0,29135000.0,29193000.0,3349.33651382,98061441391.38602
2023-02-07 17:00:00,29198000.0,29355000.0,29095000.0,29258000.0,3251.8756212,95088354373.52081
2023-02-07 21:00:00,29236000.0,29370000.0,29121000.0,29138000.0,2426.57711794,71002163395.84634
2023-02-08 01:00:00,29139000.0,29561000.0,29017000.0,29323000.0,1247.55249411,36528610931.01071
2023-02-08 05:00:00,29333000.0,29471000.0,29234000.0,29452000.0,1434.6083616,42100289142.39373
2023-02-08 09:00:00,29452000.0,29553000.0,29380000.0,29394000.0,2896.21859095,85305876373.4509
2023-02-08 13:00:00,29396000.0,29516000.0,29337000.0,29515000.0,913.65782971,26868384821.11226
2023-02-08 17:00:00,29516000.0,29591000.0,29340000.0,29368000.0,2958.41950432,87201837544.0335
2023-02-08 21:00:00,29375000.0,29455000.0,29105000.0,29141000.0,1711.37600758,50155366332.39927
2023-02-09 01:00:00,29141000.0,29325000.0,28940000.0,29200000.0,836.44651184,24363901372.91251
2023-02-09 05:00:00,29200000.0,29327000.0,29100000.0,29303000.0,482.28783458,14107036101.63262
2023-02-09 09:00:00,29303000.0,29400000.0,28714000.0,28842000.0,3214.72764772,93481806408.85124
2023-02-09 13:00:00,28844000.0,29082000.0,28700000.0,29004000.0,1771.70311407,51141464825.22585
2023-02-09 17:00:00,29004000.0,29194000.0,28834000.0,28860000.0,2485.50389897,72078711938.8374
2023-02-09 21:00:00,28873000.0,28970000.0,28707000.0,28772000.0,1996.79922962,57596222934.33419
2023-02-10 01:00:00,28781000.0,28862000.0,28426000.0,28536000.0,1146.59657625,32832688251.10358
2023-02-10 05:00:00,28538000.0,28577000.0,28135000.0,28193000.0,1957.82228161,55515753787.49824
2023-02-10 09:00:00,28193000.0,28350000.0,27947000.0,28014000.0,2007.23695659,56463143055.10564
2023-02-10 13:00:00,28014000.0,28249000.0,27916000.0,28238000.0,1050.10103132,29492700825.1453
2023-02-10 17:00:00,28239000.0,28285000.0,28000000.0,28008000.0,1003.42863385,28250356088.41807
2023-02-10 21:00:00,28020000.0,28300000.0,27937000.0,28038000.0,939.29071994,26419919828.00686
2023-02-11 01:00:00,28040000.0,28170000.0,27965000.0,28124000.0,307.36174355,8621295128.7648
2023-02-11 05:00:00,28124000.0,28150000.0,27930000.0,28120000.0,519.34145992,14555252865.07424
2023-02-11 09:00:00,28145000.0,28293000.0,28057000.0,28206000.0,1742.36614894,49127283476.62013
2023-02-11 13:00:00,28206000.0,28268000.0,28100000.0,28183000.0,946.21139769,26680166944.24611
2023-02-11 17:00:00,28183000.0,28280000.0,28120000.0,28174000.0,796.55293427,22460549694.71254
2023-02-11 21:00:00,28174000.0,28250000.0,28132000.0,28210000.0,587.83766647,16576547453.28091
2023-02-12 01:00:00,28200000.0,28224000.0,28132000.0,28182000.0,215.15727917,6061718034.85813
2023-02-12 05:00:00,28182000.0,28379000.0,28164000.0,28377000.0,328.80133471,9300755999.43742
2023-02-12 09:00:00,28360000.0,28415000.0,28233000.0,28297000.0,969.6311239,27463879583.69281
2023-02-12 13:00:00,28314000.0,28322000.0,28220000.0,28220000.0,532.44212925,15047543599.0449
2023-02-12 17:00:00,28222000.0,28348000.0,28210000.0,28326000.0,556.3638186,15727707455.55768
2023-02-12 21:00:00,28327000.0,28378000.0,28170000.0,28338000.0,934.31744666,26426076158.84257
2023-02-13 01:00:00,28339000.0,28490000.0,28292000.0,28391000.0,369.62899292,10488776719.23969
2023-02-13 05:00:00,28391000.0,28423000.0,28141000.0,28263000.0,578.11983024,16348029401.79335
2023-02-13 09:00:00,28264000.0,28360000.0,28067000.0,28333000.0,1288.88723575,36353897153.77137
2023-02-13 13:00:00,28333000.0,28379000.0,28230000.0,28260000.0,835.54655418,23652300199.05747
2023-02-13 17:00:00,28260000.0,28282000.0,27910000.0,28070000.0,1816.65272957,50983178118.2958
2023-02-13 21:00:00,28070000.0,28200000.0,28038000.0,28056000.0,662.23135825,18618437297.97608
2023-02-14 01:00:00,28057000.0,28186000.0,27931000.0,28068000.0,371.92032498,10430080118.03244
2023-02-14 05:00:00,28088000.0,28347000.0,28013000.0,28309000.0,471.74768719,13301044947.40169
2023-02-14 09:00:00,28334000.0,28344000.0,28100000.0,28100000.0,767.45985263,21663525040.75898
2023-02-14 13:00:00,28100000.0,28238000.0,28055000.0,28186000.0,973.13295598,27372924706.65029
2023-02-14 17:00:00,28189000.0,28281000.0,28064000.0,28214000.0,1488.00154985,41916792660.9299
2023-02-14 21:00:00,28202000.0,28819000.0,27950000.0,28485000.0,3569.43989841,101048401911.25095
2023-02-15 01:00:00,28485000.0,28749000.0,28366000.0,28739000.0,652.09230188,18624717875.32063
2023-02-15 05:00:00,28739000.0,28850000.0,28666000.0,28798000.0,663.0449165,19076277301.84723
2023-02-15 09:00:00,28782000.0,28876000.0,28611000.0,28747000.0,1828.84969012,52560687164.46254
2023-02-15 13:00:00,28747000.0,28844000.0,28652000.0,28710000.0,1706.28063652,49022405688.65842
2023-02-15 17:00:00,28710000.0,29120000.0,28654000.0,29058000.0,2427.2726879,69961495665.30728
2023-02-15 21:00:00,29059000.0,29600000.0,29058000.0,29543000.0,2850.57318414,83866475853.03748
2023-02-16 01:00:00,29539000.0,30050000.0,29484000.0,30011000.0,928.47690204,27623591723.33547
2023-02-16 05:00:00,30014000.0,31400000.0,30011000.0,31186000.0,3170.42772806,98202916245.31877
2023-02-16 09:00:00,31183000.0,31926000.0,31151000.0,31800000.0,2993.28214681,94888523311.91626
2023-02-16 13:00:00,31790000.0,31825000.0,31351000.0,31484000.0,1547.0148044,48905003238.06884
2023-02-16 17:00:00,31499000.0,31856000.0,31477000.0,31559000.0,2483.07043279,78579314402.8974
2023-02-16 21:00:00,31559000.0,32199000.0,31247000.0,32199000.0,1904.51251699,60151240192.48138
2023-02-17 01:00:00,32199000.0,32458000.0,31684000.0,32088000.0,1439.90154431,46150093479.12298
2023-02-17 05:00:00,32095000.0,32096000.0,30400000.0,30451000.0,2413.58881672,75188368308.32074
2023-02-17 09:00:00,30466000.0,31090000.0,30278000.0,30967000.0,2480.73163811,76493828750.32692
2023-02-17 13:00:00,30967000.0,31010000.0,30676000.0,30701000.0,1169.91200625,36035415856.4124
2023-02-17 17:00:00,30701000.0,30966000.0,30641000.0,30921000.0,945.87813035,29170489243.58776
2023-02-17 21:00:00,30931000.0,31369000.0,30840000.0,31249000.0,1649.64339372,51298526547.33977
2023-02-18 01:00:00,31249000.0,31620000.0,31019000.0,31572000.0,1191.72021548,37380669420.9976
2023-02-18 05:00:00,31581000.0,32090000.0,31109000.0,31641000.0,1703.45245275,54043080536.13372
2023-02-18 09:00:00,31641000.0,32014000.0,31608000.0,31781000.0,1521.58346582,48388439169.38853
2023-02-18 13:00:00,31788000.0,31870000.0,31671000.0,31764000.0,979.06474215,31141506433.53378
2023-02-18 17:00:00,31757000.0,31791000.0,31498000.0,31705000.0,1269.86311565,40221203347.24104
2023-02-18 21:00:00,31707000.0,31943000.0,31658000.0,31843000.0,883.12911978,28080956775.41066
2023-02-19 01:00:00,31844000.0,32000000.0,31750000.0,31800000.0,339.71484267,10819717585.24011
2023-02-19 05:00:00,31800000.0,31830000.0,31736000.0,31789000.0,274.28504599,8719395088.37732
2023-02-19 09:00:00,31789000.0,31990000.0,31762000.0,31925000.0,1100.63285537,35107919099.22387
2023-02-19 13:00:00,31926000.0,32065000.0,31800000.0,31882000.0,1554.37622546,49619729290.68884
2023-02-19 17:00:00,31882000.0,31882000.0,31726000.0,31814000.0,1288.07796863,40976949181.57715
2023-02-19 21:00:00,31818000.0,32102000.0,31782000.0,32051000.0,1578.03783205,50351274795.72215
2023-02-20 01:00:00,32051000.0,32370000.0,31502000.0,31766000.0,1501.00291816,47890704335.95346
2023-02-20 05:00:00,31766000.0,31831000.0,31400000.0,31435000.0,1150.78845406,36420574429.6807
2023-02-20 09:00:00,31434000.0,31600000.0,31000000.0,31570000.0,2315.6726351,72602188341.20291
2023-02-20 13:00:00,31570000.0,31680000.0,31500000.0,31575000.0,1099.7055797,34730237310.09444
2023-02-20 17:00:00,31537000.0,32100000.0,31475000.0,31990000.0,2175.69062471,69281772597.1883
2023-02-20 21:00:00,31990000.0,32148000.0,31777000.0,31981000.0,1502.67912761,48036422334.12266
2023-02-21 01:00:00,31981000.0,32017000.0,31800000.0,31908000.0,525.79472338,16777669765.83214
2023-02-21 05:00:00,31934000.0,31934000.0,31720000.0,31883000.0,451.44409442,14367663834.6928
2023-02-21 09:00:00,31883000.0,32268000.0,31855000.0,32180000.0,1338.59700482,42906665253.8704
2023-02-21 13:00:00,32180000.0,32351000.0,32103000.0,32307000.0,1223.63994036,39420196720.14767
2023-02-21 17:00:00,32300000.0,32600000.0,31901000.0,31937000.0,3017.53008564,96997989493.00212
2023-02-21 21:00:00,31940000.0,32139000.0,31800000.0,31942000.0,2270.46409908,72560790958.77005
2023-02-22 01:00:00,31943000.0,32132000.0,31668000.0,31896000.0,648.66901027,20662262800.87403
2023-02-22 05:00:00,31917000.0,31970000.0,31510000.0,31736000.0,918.02838932,29083409107.03917
2023-02-22 09:00:00,31751000.0,31850000.0,31207000.0,31511000.0,2260.72848015,71383359892.747
2023-02-22 13:00:00,31512000.0,31590000.0,31200000.0,31300000.0,1347.12417281,42232449912.65598
2023-02-22 17:00:00,31304000.0,31470000.0,31122000.0,31406000.0,1095.29046913,34302702956.93316
2023-02-22 21:00:00,31406000.0,31500000.0,31003000.0,31091000.0,1439.10066799,45043905672.3157
2023-02-23 01:00:00,31091000.0,31378000.0,30900000.0,31142000.0,743.42944373,23108539118.84468
2023-02-23 05:00:00,31143000.0,31670000.0,31070000.0,31619000.0,845.58443282,26561408415.6667
2023-02-23 09:00:00,31638000.0,31999000.0,31542000.0,31816000.0,1405.29621994,44616470297.74433
2023-02-23 13:00:00,31816000.0,31860000.0,31674000.0,31730000.0,935.49364486,29726766017.20469
2023-02-23 17:00:00,31730000.0,31800000.0,31016000.0,31139000.0,1585.74876728,49786100521.40849
2023-02-23 21:00:00,31139000.0,31546000.0,30960000.0,31263000.0,1785.64997334,55865016338.78355
2023-02-24 01:00:00,31275000.0,31464000.0,31108000.0,31382000.0,506.72896705,15834784242.73571
2023-02-24 05:00:00,31382000.0,31485000.0,31194000.0,31398000.0,618.04644905,19369098492.20378
2023-02-24 09:00:00,31400000.0,31485000.0,31228000.0,31334000.0,1046.7404764,32798181540.55515
2023-02-24 13:00:00,31333000.0,31375000.0,31049000.0,31139000.0,1166.97590406,36414614515.05501
2023-02-24 17:00:00,31139000.0,31321000.0,31080000.0,31247000.0,691.54840452,21585345136.78532
2023-02-24 21:00:00,31269000.0,31425000.0,30890000.0,30914000.0,1637.09304315,51009834797.78911
2023-02-25 01:00:00,30914000.0,30924000.0,30560000.0,30870000.0,1311.68295815,40341822938.51783
2023-02-25 05:00:00,30870000.0,31040000.0,30688000.0,30877000.0,921.04544366,28400748384.99782
2023-02-25 09:00:00,30868000.0,30908000.0,30538000.0,30638000.0,1183.6249131,36392149758.69168
2023-02-25 13:00:00,30638000.0,30750000.0,30555000.0,30622000.0,831.33896343,25476265113.29266
2023-02-25 17:00:00,30625000.0,30700000.0,30376000.0,30462000.0,903.33478265,27576221984.33471
2023-02-25 21:00:00,30463000.0,30569000.0,30291000.0,30515000.0,861.0074795,26222992958.08043
2023-02-26 01:00:00,30515000.0,30618000.0,30502000.0,30616000.0,230.50860594,7044745642.37269
2023-02-26 05:00:00,30618000.0,31000000.0,30437000.0,30959000.0,709.87015093,21840861414.00246
2023-02-26 09:00:00,30959000.0,30974000.0,30710000.0,30929000.0,692.02716513,21344572488.64065
2023-02-26 13:00:00,30929000.0,30938000.0,30739000.0,30797000.0,379.62169175,11702864120.80278
2023-02-26 17:00:00,30797000.0,30989000.0,30747000.0,30959000.0,477.48522058,14756559692.75491
2023-02-26 21:00:00,30959000.0,31100000.0,30796000.0,30944000.0,620.22638407,19181600800.18596
2023-02-27 01:00:00,30942000.0,31248000.0,30862000.0,31165000.0,284.84048646,8853267731.35825
2023-02-27 05:00:00,31165000.0,31384000.0,31000000.0,31279000.0,611.61935374,19099876866.26888
2023-02-27 09:00:00,31279000.0,31390000.0,31110000.0,31295000.0,908.19114682,28401786691.1195
2023-02-27 13:00:00,31295000.0,31324000.0,31111000.0,31190000.0,778.58012503,24286621546.67916
2023-02-27 17:00:00,31178000.0,31238000.0,31102000.0,31200000.0,494.85152026,15418670118.0167
2023-02-27 21:00:00,31173000.0,31654000.0,31109000.0,31273000.0,1442.09256657,45296046413.03724
2023-02-28 01:00:00,31284000.0,31335000.0,30890000.0,31047000.0,639.29571328,19859572827.69974
2023-02-28 05:00:00,31077000.0,31383000.0,30902000.0,31255000.0,455.9631839,14231411859.29522
2023-02-28 09:00:00,31255000.0,31323000.0,31027000.0,31160000.0,750.95050362,23412285018.73606
2023-02-28 13:00:00,31160000.0,31216000.0,30978000.0,31003000.0,699.758449,21774462646.44686
2023-02-28 17:00:00,30991000.0,31172000.0,30945000.0,31131000.0,656.36724845,20379719128.38403
2023-02-28 21:00:00,31131000.0,31301000.0,31018000.0,31224000.0,633.92080074,19757878638.80329
2023-03-01 01:00:00,31224000.0,31300000.0,30950000.0,31049000.0,353.61148165,11016552404.68335
2023-03-01 05:00:00,31048000.0,31160000.0,30904000.0,31024000.0,498.79908909,15475884438.07601
2023-03-01 09:00:00,31024000.0,31280000.0,30805000.0,31226000.0,1030.57474933,32000626904.63142
2023-03-01 13:00:00,31203000.0,31600000.0,31165000.0,31365000.0,992.36971326,31176100854.2964
2023-03-01 17:00:00,31367000.0,31600000.0,31315000.0,31346000.0,754.35805036,23702447695.97453
2023-03-01 21:00:00,31346000.0,31433000.0,31109000.0,31312000.0,817.31381815,25553718550.19829
2023-03-02 01:00:00,31312000.0,31317000.0,30950000.0,30970000.0,351.21380394,10944064040.41958
2023-03-02 05:00:00,30984000.0,31198000.0,30930000.0,31106000.0,586.85474105,18232683241.88429
2023-03-02 09:00:00,31106000.0,31284000.0,31001000.0,31110000.0,1012.36346096,31510926924.51153
2023-03-02 13:00:00,31112000.0,31140000.0,31052000.0,31086000.0,181.91978176,5655653955.85383
